card_id,text,raw_text,type,rank
121,Livingbridge,Livingbridge,a_inner_text,A
121,,/,href,D
122,Built by Buffalo,Built by Buffalo,a_inner_text,A
122,builtbybuffalo,https://builtbybuffalo.com,href,D
240,team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Matthew-Jacobs.jpg,image_src,I
242,Investment Team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Matthew-Jacobs.jpg,image_src,I
244,400x400 crop center center none,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Matthew-Jacobs.jpg,image_src,I
246,Matthew Jacobs,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Matthew-Jacobs.jpg,image_src,I
248,team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Simon-Peet.jpg,image_src,I
250,Investment Team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Simon-Peet.jpg,image_src,I
252,400x400 crop center center none,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Simon-Peet.jpg,image_src,I
254,Simon Peet,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Simon-Peet.jpg,image_src,I
256,team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Sanjay-Panchal.jpg,image_src,I
258,Investment Team,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Sanjay-Panchal.jpg,image_src,I
260,400x400 crop center center none,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Sanjay-Panchal.jpg,image_src,I
262,Sanjay Panchal,/uploads/team/Investment-Team/_400x400_crop_center-center_none/Sanjay-Panchal.jpg,image_src,I
264,logos,/uploads/logos/_medium/ML_Absolute_Collagen_Logo_FOIL_ML.png,image_src,I
266,medium,/uploads/logos/_medium/ML_Absolute_Collagen_Logo_FOIL_ML.png,image_src,I
268,ML Absolute Collagen Logo FOIL ML,/uploads/logos/_medium/ML_Absolute_Collagen_Logo_FOIL_ML.png,image_src,I
270,logos,/uploads/logos/_medium/1698138876-trimmy-Active-Assistance_BLK.png,image_src,I
272,medium,/uploads/logos/_medium/1698138876-trimmy-Active-Assistance_BLK.png,image_src,I
274,1698138876 trimmy Active Assistance BLK,/uploads/logos/_medium/1698138876-trimmy-Active-Assistance_BLK.png,image_src,I
276,logos,/uploads/logos/_medium/1698138876-trimmy-Adarma_BLK.png,image_src,I
278,medium,/uploads/logos/_medium/1698138876-trimmy-Adarma_BLK.png,image_src,I
280,1698138876 trimmy Adarma BLK,/uploads/logos/_medium/1698138876-trimmy-Adarma_BLK.png,image_src,I
282,logos,/uploads/logos/_medium/1698138876-trimmy-AIMS-Group_BLK.png,image_src,I
284,medium,/uploads/logos/_medium/1698138876-trimmy-AIMS-Group_BLK.png,image_src,I
286,1698138876 trimmy AIMS Group BLK,/uploads/logos/_medium/1698138876-trimmy-AIMS-Group_BLK.png,image_src,I
288,logos,/uploads/logos/_medium/1698138876-trimmy-AJM_BLK.png,image_src,I
290,medium,/uploads/logos/_medium/1698138876-trimmy-AJM_BLK.png,image_src,I
292,1698138876 trimmy AJM BLK,/uploads/logos/_medium/1698138876-trimmy-AJM_BLK.png,image_src,I
294,logos,/uploads/logos/_medium/1698138876-trimmy-Americana_BLK.png,image_src,I
296,medium,/uploads/logos/_medium/1698138876-trimmy-Americana_BLK.png,image_src,I
298,1698138876 trimmy Americana BLK,/uploads/logos/_medium/1698138876-trimmy-Americana_BLK.png,image_src,I
300,logos,/uploads/logos/_medium/1698138876-trimmy-Audiotonix_BLK.png,image_src,I
302,medium,/uploads/logos/_medium/1698138876-trimmy-Audiotonix_BLK.png,image_src,I
304,1698138876 trimmy Audiotonix BLK,/uploads/logos/_medium/1698138876-trimmy-Audiotonix_BLK.png,image_src,I
306,logos,/uploads/logos/_medium/1698138876-trimmy-Autologic_BLK.png,image_src,I
308,medium,/uploads/logos/_medium/1698138876-trimmy-Autologic_BLK.png,image_src,I
310,1698138876 trimmy Autologic BLK,/uploads/logos/_medium/1698138876-trimmy-Autologic_BLK.png,image_src,I
312,logos,/uploads/logos/_medium/1698138876-trimmy-Better-Medical_BLK.png,image_src,I
314,medium,/uploads/logos/_medium/1698138876-trimmy-Better-Medical_BLK.png,image_src,I
316,1698138876 trimmy Better Medical BLK,/uploads/logos/_medium/1698138876-trimmy-Better-Medical_BLK.png,image_src,I
318,logos,/uploads/logos/_medium/1698059874-trimmy-Bistrot-Pierre.png,image_src,I
320,medium,/uploads/logos/_medium/1698059874-trimmy-Bistrot-Pierre.png,image_src,I
322,1698059874 trimmy Bistrot Pierre,/uploads/logos/_medium/1698059874-trimmy-Bistrot-Pierre.png,image_src,I
324,logos,/uploads/logos/_medium/1698138876-trimmy-Blue-8_BLK.png,image_src,I
326,medium,/uploads/logos/_medium/1698138876-trimmy-Blue-8_BLK.png,image_src,I
328,1698138876 trimmy Blue 8 BLK,/uploads/logos/_medium/1698138876-trimmy-Blue-8_BLK.png,image_src,I
330,logos,/uploads/logos/_medium/1698138876-trimmy-Boiler-Juice_BLK.png,image_src,I
332,medium,/uploads/logos/_medium/1698138876-trimmy-Boiler-Juice_BLK.png,image_src,I
334,1698138876 trimmy Boiler Juice BLK,/uploads/logos/_medium/1698138876-trimmy-Boiler-Juice_BLK.png,image_src,I
