card_id,text,raw_text,type,rank
85,ASDAM,ASDAM,a_inner_text,D
85,portfolio companies,https://cpecapital.com/portfolio-companies/#004,href,C
86,Performance and Returns,Performance and Returns,a_inner_text,D
86,for investors,https://cpecapital.com/for-investors/#performance-and-returns,href,C
87,Realised Investments,Realised Investments,a_inner_text,D
87,for investors,https://cpecapital.com/for-investors/#realised-investments,href,C
88,Investment Approach,Investment Approach,a_inner_text,D
88,for investors,https://cpecapital.com/for-investors/#investment-approach,href,C
89,Responsible Investment,Responsible Investment,a_inner_text,D
89,for investors,https://cpecapital.com/for-investors/#responsible-investment,href,C
90,What We Look For,What We Look For,a_inner_text,D
90,looking for investment,https://cpecapital.com/looking-for-investment/#what-we-look-for,href,C
91,Investment History,Investment History,a_inner_text,D
91,looking for investment,https://cpecapital.com/looking-for-investment/#investment-history,href,C
92,Core Principles,Core Principles,a_inner_text,D
92,about us,https://cpecapital.com/about-us/#core-principles,href,C
93,Pioneering Spirit,Pioneering Spirit,a_inner_text,D
93,about us,https://cpecapital.com/about-us/#pioneering-spirit,href,C
94,Awards,Awards,a_inner_text,D
94,about us,https://cpecapital.com/about-us/#awards,href,C
95,Our People,Our People,a_inner_text,D
95,our people,https://cpecapital.com/our-people/,href,C
96,Privacy Policy,Privacy Policy,a_inner_text,D
96,privacy policy,https://cpecapital.com/privacy-policy/,href,C
97,Disclaimer,Disclaimer,a_inner_text,D
97,cpe capital disclaimer,https://cpecapital.com/cpe-capital-disclaimer/,href,C
98,Modus,Modus,a_inner_text,D
98,portfolio,https://cpecapital.com/portfolio/#001,href,C
99,Ambrose Construct,Ambrose Construct,a_inner_text,D
99,portfolio,https://cpecapital.com/portfolio/#001,href,C
100,Adventure Online,Adventure Online,a_inner_text,D
100,portfolio,https://cpecapital.com/portfolio/#003,href,C
101,Banksmeadow Recycling,Banksmeadow Recycling,a_inner_text,D
101,portfolio,https://cpecapital.com/portfolio/#003,href,C
102,ASDAM,ASDAM,a_inner_text,D
102,portfolio companies,https://cpecapital.com/portfolio-companies/#004,href,C
103,Performance and Returns,Performance and Returns,a_inner_text,D
103,for investors,https://cpecapital.com/for-investors/#performance-and-returns,href,C
104,Realised Investments,Realised Investments,a_inner_text,D
104,for investors,https://cpecapital.com/for-investors/#realised-investments,href,C
105,Investment Approach,Investment Approach,a_inner_text,D
105,for investors,https://cpecapital.com/for-investors/#investment-approach,href,C
106,Responsible Investment,Responsible Investment,a_inner_text,D
106,for investors,https://cpecapital.com/for-investors/#responsible-investment,href,C
107,What We Look For,What We Look For,a_inner_text,D
107,looking for investment,https://cpecapital.com/looking-for-investment/#what-we-look-for,href,C
108,Investment History,Investment History,a_inner_text,D
108,looking for investment,https://cpecapital.com/looking-for-investment/#investment-history,href,C
214,CPE Logo White,https://cpecapital.com/wp-content/uploads/2019/09/CPE_Logo_White.png,image_src,I
216,CPE Logo White,https://cpecapital.com/wp-content/uploads/2019/09/CPE_Logo_White.png,image_src,I
